### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+1.44700e+03  +7.25984e-01  +2.21759e-02  +3.31821e+00  +3.26136e-01
+1.45500e+03  +7.17608e-01  +2.23930e-02  +3.25931e+00  +3.20896e-01
+1.46500e+03  +7.07529e-01  +2.23898e-02  +3.18862e+00  +3.14945e-01
+1.47500e+03  +6.99712e-01  +2.25187e-02  +3.12928e+00  +3.09089e-01
+1.48500e+03  +6.94423e-01  +2.30934e-02  +3.08219e+00  +3.04351e-01
+1.49500e+03  +6.85928e-01  +2.34400e-02  +3.02182e+00  +2.98467e-01
+1.50500e+03  +6.68949e-01  +2.29955e-02  +2.95018e+00  +2.92592e-01
+1.51200e+03  +6.57051e-01  +2.23617e-02  +2.88458e+00  +2.88094e-01
+1.51700e+03  +6.56950e-01  +2.29696e-02  +2.87490e+00  +2.86178e-01
+1.52500e+03  +6.49502e-01  +2.29147e-02  +2.82793e+00  +2.81768e-01
+1.53500e+03  +6.26881e-01  +2.20922e-02  +2.71245e+00  +2.73276e-01
+1.54500e+03  +5.39051e-01  +1.98764e-02  +2.31815e+00  +2.62533e-01
+1.55500e+03  +6.06544e-01  +2.43800e-02  +2.59271e+00  +2.64831e-01
+1.56500e+03  +5.81782e-01  +2.00360e-02  +2.47215e+00  +2.55879e-01
+1.57500e+03  +6.09578e-01  +2.25678e-02  +2.57517e+00  +2.55374e-01
+1.58500e+03  +5.85917e-01  +2.12421e-02  +2.46101e+00  +2.49843e-01
+1.59500e+03  +6.00887e-01  +2.35166e-02  +2.50962e+00  +2.48222e-01
+1.60500e+03  +5.85910e-01  +2.28840e-02  +2.43343e+00  +2.41616e-01
+1.61500e+03  +5.78232e-01  +2.29306e-02  +2.38834e+00  +2.37368e-01
+1.62500e+03  +5.73055e-01  +2.24585e-02  +2.35412e+00  +2.32958e-01
+1.63500e+03  +5.69907e-01  +2.28652e-02  +2.32867e+00  +2.29450e-01
+1.64500e+03  +5.58267e-01  +2.28189e-02  +2.26906e+00  +2.24089e-01
+1.65500e+03  +5.55468e-01  +2.16420e-02  +2.24591e+00  +2.20783e-01
+1.66500e+03  +5.52759e-01  +2.28585e-02  +2.22343e+00  +2.18956e-01
+1.67200e+03  +5.41534e-01  +2.17832e-02  +2.17050e+00  +2.14016e-01
+1.67700e+03  +5.50534e-01  +2.27650e-02  +2.20097e+00  +2.15127e-01
+1.68500e+03  +5.44778e-01  +2.33081e-02  +2.16919e+00  +2.12866e-01
+1.69500e+03  +5.36565e-01  +2.29062e-02  +2.12585e+00  +2.08755e-01
+1.70500e+03  +5.28212e-01  +2.24717e-02  +2.08245e+00  +2.04504e-01
+1.71500e+03  +5.18446e-01  +2.21248e-02  +2.03398e+00  +2.00176e-01
+1.72500e+03  +5.12834e-01  +2.20568e-02  +2.00226e+00  +1.96852e-01
+1.73500e+03  +5.13841e-01  +2.26834e-02  +1.99660e+00  +1.95433e-01
+1.74500e+03  +5.06364e-01  +2.23233e-02  +1.95824e+00  +1.91674e-01
+1.75500e+03  +5.02400e-01  +2.29051e-02  +1.93380e+00  +1.89504e-01
