### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+9.85381e+02  +1.41300e+00  +1.70294e-01  +1.00786e+00  +1.07433e-02
+9.85803e+02  +1.02037e+00  +1.43596e-01  +9.66758e-01  +1.50303e-02
+9.86224e+02  +8.60711e-01  +1.34796e-01  +9.68273e-01  +1.25397e-02
+9.86646e+02  +1.25760e+00  +1.62047e-01  +9.82207e-01  +1.02621e-02
+9.87068e+02  +1.11538e+00  +1.53162e-01  +9.98748e-01  +1.14354e-02
+9.87489e+02  +1.02667e+00  +1.44343e-01  +1.03339e+00  +1.13303e-02
+9.87911e+02  +8.47685e-01  +1.35496e-01  +1.05262e+00  +1.12957e-02
+9.88332e+02  +9.21503e-01  +1.40300e-01  +1.04992e+00  +1.09105e-02
+9.88754e+02  +7.42038e-01  +1.26841e-01  +1.03377e+00  +1.04580e-02
+9.89176e+02  +7.89514e-01  +1.27050e-01  +9.64334e-01  +1.00811e-02
+9.89597e+02  +8.41346e-01  +1.27207e-01  +8.28368e-01  +1.17319e-02
+9.90019e+02  +1.07327e+00  +1.50224e-01  +8.18838e-01  +1.40115e-02
+9.90441e+02  +1.20248e+00  +1.54948e-01  +9.27725e-01  +1.47054e-02
+9.90862e+02  +8.21101e-01  +1.36990e-01  +9.67883e-01  +1.73335e-02
+9.91284e+02  +1.09644e+00  +1.55361e-01  +9.74634e-01  +1.67071e-02
+9.91705e+02  +7.50653e-01  +1.28152e-01  +1.01868e+00  +1.08842e-02
+9.92127e+02  +8.61999e-01  +1.37509e-01  +1.04657e+00  +1.05585e-02
+9.92549e+02  +8.26465e-01  +1.37759e-01  +1.05034e+00  +1.10190e-02
+9.92970e+02  +9.19750e-01  +1.37939e-01  +1.05138e+00  +1.11639e-02
+9.93392e+02  +1.16057e+00  +1.56552e-01  +1.05282e+00  +1.11906e-02
+9.93814e+02  +8.86098e-01  +1.38347e-01  +1.04860e+00  +1.09135e-02
+9.94235e+02  +1.22005e+00  +1.57036e-01  +1.02665e+00  +1.02258e-02
+9.94657e+02  +9.63868e-01  +1.48132e-01  +9.85230e-01  +1.09894e-02
+9.95079e+02  +9.46618e-01  +1.43704e-01  +9.69385e-01  +1.20439e-02
+9.95500e+02  +1.17110e+00  +1.57798e-01  +1.00020e+00  +9.62692e-03
+9.95922e+02  +1.00560e+00  +1.48746e-01  +1.02231e+00  +9.68651e-03
+9.96343e+02  +1.04471e+00  +1.49005e-01  +1.02359e+00  +9.57460e-03
+9.96765e+02  +8.60030e-01  +1.39904e-01  +1.00668e+00  +1.05106e-02
+9.97187e+02  +1.16037e+00  +1.58816e-01  +9.73664e-01  +1.61759e-02
+9.97608e+02  +7.32123e-01  +1.31111e-01  +9.74005e-01  +1.55070e-02
+9.98030e+02  +1.33120e+00  +1.73041e-01  +1.01867e+00  +9.39369e-03
+9.98452e+02  +8.92164e-01  +1.50428e-01  +1.04576e+00  +9.93034e-03
+9.98873e+02  +1.17289e+00  +1.72110e-01  +1.04996e+00  +1.04151e-02
+9.99295e+02  +1.28972e+00  +1.84846e-01  +1.05074e+00  +1.06402e-02
+9.99717e+02  +1.06077e+00  +1.73689e-01  +1.05202e+00  +1.08674e-02
+1.00014e+03  +8.54455e-01  +1.50731e-01  +1.05148e+00  +1.07745e-02
+1.00056e+03  +9.02620e-01  +1.62722e-01  +1.04742e+00  +1.03111e-02
+1.00098e+03  +8.65551e-01  +1.54703e-01  +1.04381e+00  +9.99094e-03
+1.00140e+03  +7.64381e-01  +1.33265e-01  +1.04457e+00  +9.96668e-03
+1.00182e+03  +8.99478e-01  +1.42926e-01  +1.04137e+00  +9.67357e-03
+1.00225e+03  +9.39270e-01  +1.43184e-01  +1.03933e+00  +9.65955e-03
+1.00267e+03  +9.41466e-01  +1.43469e-01  +1.04365e+00  +1.01330e-02
+1.00309e+03  +6.18093e-01  +1.24643e-01  +1.04932e+00  +1.05728e-02
+1.00351e+03  +1.06054e+00  +1.53594e-01  +1.05205e+00  +1.08852e-02
+1.00393e+03  +1.04332e+00  +1.53853e-01  +1.05212e+00  +1.10005e-02
+1.00435e+03  +1.02605e+00  +1.54086e-01  +1.05149e+00  +1.10074e-02
+1.00478e+03  +1.16307e+00  +1.63981e-01  +1.04855e+00  +1.05835e-02
+1.00520e+03  +1.12635e+00  +1.54598e-01  +1.02705e+00  +8.89059e-03
+1.00562e+03  +1.10850e+00  +1.54811e-01  +9.73728e-01  +9.82869e-03
+1.00604e+03  +1.22663e+00  +1.64750e-01  +9.50792e-01  +1.14346e-02
+1.00646e+03  +9.37744e-01  +1.45614e-01  +1.00462e+00  +8.29867e-03
+1.00688e+03  +1.24993e+00  +1.65255e-01  +1.03633e+00  +9.48061e-03
+1.00731e+03  +1.03817e+00  +1.55814e-01  +1.03172e+00  +1.00259e-02
+1.00773e+03  +1.01916e+00  +1.45678e-01  +1.01343e+00  +1.06343e-02
+1.00815e+03  +8.74393e-01  +1.36739e-01  +1.01507e+00  +1.06229e-02
+1.00857e+03  +8.28140e-01  +1.37029e-01  +1.03371e+00  +1.01016e-02
