### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+6.00000e+02  +3.15017e-01  +6.79168e-02  +2.63532e+00  +7.20179e-01
+6.10000e+02  +4.30755e-01  +6.61066e-02  +3.42206e+00  +6.96082e-01
+6.20000e+02  +4.11270e-01  +6.96673e-02  +3.10958e+00  +6.91784e-01
+6.30000e+02  +6.81767e-01  +1.91165e-01  +4.91617e+00  +1.71065e+00
+6.40000e+02  +3.99401e-01  +7.36651e-02  +2.75211e+00  +6.61114e-01
+6.50000e+02  +4.46320e-01  +7.52904e-02  +2.94422e+00  +6.63110e-01
+6.58000e+02  +4.36674e-01  +7.68054e-02  +2.78535e+00  +6.46417e-01
+6.65000e+02  +4.44655e-01  +7.98589e-02  +2.75645e+00  +6.45296e-01
+6.75000e+02  +4.80263e-01  +7.72938e-02  +2.86210e+00  +6.20409e-01
+6.85000e+02  +4.77889e-01  +8.00584e-02  +2.74199e+00  +6.11573e-01
+6.95000e+02  +4.87610e-01  +8.05584e-02  +2.69754e+00  +5.95273e-01
+7.05000e+02  +5.10562e-01  +7.97354e-02  +2.72701e+00  +5.59087e-01
+7.16000e+02  +5.30644e-01  +8.18477e-02  +2.73089e+00  +5.69193e-01
+7.26000e+02  +5.36233e-01  +8.23499e-02  +2.67140e+00  +5.54487e-01
+7.35000e+02  +5.38618e-01  +8.29411e-02  +2.60849e+00  +5.35260e-01
+7.45000e+02  +5.33719e-01  +7.90588e-02  +2.50746e+00  +4.98577e-01
+7.55000e+02  +3.98595e-01  +5.59130e-02  +1.81853e+00  +2.70590e-01
+7.65000e+02  +5.57385e-01  +9.07415e-02  +2.47199e+00  +5.26921e-01
+7.75000e+02  +4.85324e-01  +7.63502e-02  +2.09429e+00  +4.37089e-01
+7.85000e+02  +3.79176e-01  +1.02844e-01  +1.59350e+00  +5.11830e-01
+7.95000e+02  +5.81112e-01  +8.63280e-02  +2.38041e+00  +4.71084e-01
+8.05000e+02  +5.96125e-01  +8.61851e-02  +2.38214e+00  +4.58559e-01
+8.15000e+02  +5.94322e-01  +8.73729e-02  +2.31864e+00  +4.54941e-01
+8.25000e+02  +6.03611e-01  +8.72209e-02  +2.30078e+00  +4.42336e-01
+8.35000e+02  +4.62064e-01  +9.61463e-02  +1.72202e+00  +4.42718e-01
+8.45000e+02  +6.13377e-01  +8.66832e-02  +2.23656e+00  +4.18621e-01
+8.55000e+02  +5.95888e-01  +8.91693e-02  +2.12726e+00  +4.18368e-01
+8.65000e+02  +6.05073e-01  +9.06920e-02  +2.11612e+00  +4.07743e-01
+8.75000e+02  +6.23067e-01  +8.57652e-02  +2.13602e+00  +3.88675e-01
+8.85000e+02  +6.30030e-01  +8.75353e-02  +2.11847e+00  +3.87044e-01
+8.95000e+02  +6.33657e-01  +8.72432e-02  +2.09096e+00  +3.79334e-01
+9.05000e+02  +6.35456e-01  +8.60740e-02  +2.05892e+00  +3.65594e-01
+9.15000e+02  +1.12582e+00  +1.30575e-01  +3.58349e+00  +5.08082e-01
+9.25000e+02  +9.21114e-01  +1.13831e-01  +2.88170e+00  +4.56047e-01
+9.35000e+02  +1.41245e+00  +1.47429e-01  +4.34522e+00  +5.64552e-01
+9.45000e+02  +1.41657e+00  +1.28325e-01  +4.28721e+00  +5.15131e-01
+9.55000e+02  +1.37934e+00  +1.07395e-01  +4.10864e+00  +4.58750e-01
+9.65000e+02  +1.43359e+00  +9.95840e-02  +4.20457e+00  +4.32063e-01
+9.75000e+02  +1.18870e+00  +1.19979e-01  +3.43415e+00  +4.58341e-01
+9.85000e+02  +1.33275e+00  +8.21215e-02  +3.79413e+00  +3.68574e-01
+9.95000e+02  +1.36162e+00  +7.24439e-02  +3.82118e+00  +3.41789e-01
+1.00500e+03  +1.31626e+00  +6.38853e-02  +3.64266e+00  +3.43461e-01
+1.01500e+03  +1.40677e+00  +7.28668e-02  +3.84050e+00  +3.50557e-01
+1.02500e+03  +1.22147e+00  +1.20476e-01  +3.29064e+00  +4.22673e-01
+1.03500e+03  +1.34225e+00  +8.46209e-02  +3.56951e+00  +3.51607e-01
+1.04500e+03  +1.42526e+00  +4.93703e-02  +3.74264e+00  +2.97577e-01
+1.05500e+03  +1.41074e+00  +4.58420e-02  +3.65911e+00  +2.86438e-01
+1.06500e+03  +1.36562e+00  +5.01534e-02  +3.49967e+00  +2.81907e-01
+1.07500e+03  +1.33114e+00  +3.93449e-02  +3.37140e+00  +2.75112e-01
+1.08500e+03  +1.29280e+00  +4.65131e-02  +3.23691e+00  +2.56777e-01
+1.09500e+03  +1.36162e+00  +3.75060e-02  +3.37118e+00  +2.53825e-01
+1.10500e+03  +1.33565e+00  +3.89025e-02  +3.27079e+00  +2.46131e-01
+1.11500e+03  +1.28214e+00  +3.58652e-02  +3.10628e+00  +2.42633e-01
+1.12500e+03  +1.19334e+00  +3.76539e-02  +2.86099e+00  +2.36348e-01
+1.13500e+03  +1.30255e+00  +3.11037e-02  +3.09096e+00  +2.26562e-01
+1.14500e+03  +1.27553e+00  +3.35065e-02  +2.99664e+00  +2.22738e-01
+1.15500e+03  +1.20765e+00  +2.82647e-02  +2.80948e+00  +2.18119e-01
+1.16500e+03  +1.19510e+00  +2.73451e-02  +2.75372e+00  +2.08023e-01
+1.17500e+03  +1.11682e+00  +3.32412e-02  +2.54928e+00  +2.04683e-01
+1.18500e+03  +1.22186e+00  +2.42724e-02  +2.76352e+00  +1.96864e-01
+1.19500e+03  +1.14761e+00  +3.93990e-02  +2.57232e+00  +2.06076e-01
+1.20500e+03  +1.11265e+00  +5.43870e-02  +2.47208e+00  +2.21141e-01
+1.21500e+03  +1.01868e+00  +9.37640e-02  +2.24382e+00  +2.68795e-01
+1.22500e+03  +1.11256e+00  +5.10023e-02  +2.42997e+00  +2.10733e-01
+1.23500e+03  +9.01236e-01  +7.67649e-02  +1.95215e+00  +2.27636e-01
+1.24500e+03  +1.25397e+00  +4.59110e-02  +2.69422e+00  +1.94849e-01
+1.25500e+03  +1.10887e+00  +1.82002e-02  +2.36356e+00  +1.62551e-01
+1.26500e+03  +1.10659e+00  +1.91761e-02  +2.34035e+00  +1.63169e-01
+1.27500e+03  +1.10881e+00  +1.37489e-02  +2.32717e+00  +1.56795e-01
+1.28500e+03  +1.08559e+00  +1.30280e-02  +2.26138e+00  +1.50045e-01
+1.29500e+03  +1.05269e+00  +1.30602e-02  +2.17676e+00  +1.44653e-01
+1.30500e+03  +1.05707e+00  +1.48946e-02  +2.17008e+00  +1.43906e-01
+1.31500e+03  +1.04973e+00  +1.21979e-02  +2.13978e+00  +1.38939e-01
+1.32500e+03  +1.03010e+00  +1.11826e-02  +2.08521e+00  +1.34391e-01
+1.33500e+03  +1.02153e+00  +1.18993e-02  +2.05379e+00  +1.32676e-01
+1.34500e+03  +9.90668e-01  +1.24297e-02  +1.97843e+00  +1.31163e-01
+1.35500e+03  +1.01054e+00  +1.17977e-02  +2.00488e+00  +1.25139e-01
+1.36500e+03  +9.87114e-01  +9.77988e-03  +1.94578e+00  +1.21358e-01
+1.37500e+03  +9.76738e-01  +1.02024e-02  +1.91315e+00  +1.17534e-01
+1.38500e+03  +9.40406e-01  +1.31303e-02  +1.83054e+00  +1.17415e-01
+1.39500e+03  +9.08463e-01  +1.53933e-02  +1.75756e+00  +1.13006e-01
