### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+1.24215e+03  +9.47873e-01  +2.07440e-01  +1.14241e+00  +2.64033e-02
+1.24270e+03  +1.03031e+00  +2.07864e-01  +1.27437e+00  +2.56613e-02
+1.24326e+03  +1.09607e+00  +2.08031e-01  +1.38161e+00  +3.30219e-02
+1.24381e+03  +8.96215e-01  +2.06521e-01  +1.39535e+00  +3.42995e-02
+1.24436e+03  +1.09104e+00  +2.05114e-01  +1.35725e+00  +3.21286e-02
+1.24492e+03  +1.24667e+00  +2.03748e-01  +1.31068e+00  +2.93650e-02
+1.24547e+03  +1.14312e+00  +2.02017e-01  +1.26836e+00  +2.67722e-02
+1.24603e+03  +1.30361e+00  +2.01057e-01  +1.22892e+00  +2.46985e-02
+1.24658e+03  +1.23397e+00  +1.98561e-01  +1.17709e+00  +2.36920e-02
+1.24714e+03  +1.23153e+00  +1.96539e-01  +1.10650e+00  +2.60007e-02
+1.24769e+03  +1.18732e+00  +1.96123e-01  +1.07064e+00  +2.56886e-02
+1.24824e+03  +1.15518e+00  +1.95457e-01  +1.10072e+00  +1.91420e-02
+1.24880e+03  +1.25027e+00  +1.94772e-01  +1.14395e+00  +1.63772e-02
+1.24935e+03  +1.43589e+00  +1.93711e-01  +1.15359e+00  +1.62983e-02
+1.24991e+03  +1.24747e+00  +1.91543e-01  +1.13663e+00  +1.57777e-02
+1.25046e+03  +1.02263e+00  +1.90393e-01  +1.11461e+00  +1.53751e-02
+1.25102e+03  +8.89670e-01  +1.89259e-01  +1.11378e+00  +1.48953e-02
+1.25157e+03  +5.03609e-01  +1.87120e-01  +1.12364e+00  +1.49211e-02
+1.25213e+03  +5.63675e-01  +1.86473e-01  +1.12262e+00  +1.55438e-02
+1.25268e+03  +4.10200e-01  +1.84627e-01  +1.10893e+00  +1.68045e-02
+1.25323e+03  +6.48589e-01  +1.83661e-01  +1.08736e+00  +1.84717e-02
+1.25379e+03  +6.59109e-01  +1.81821e-01  +1.07966e+00  +1.81924e-02
+1.25434e+03  +2.86995e-01  +1.81056e-01  +1.09014e+00  +1.56911e-02
+1.25490e+03  +4.97801e-01  +1.79745e-01  +1.09088e+00  +1.46499e-02
+1.25545e+03  +1.07472e+00  +1.78904e-01  +1.09348e+00  +1.43556e-02
+1.25601e+03  +9.96496e-01  +1.79690e-01  +1.10119e+00  +1.42241e-02
+1.25656e+03  +1.26114e+00  +1.79512e-01  +1.09956e+00  +1.43102e-02
+1.25711e+03  +9.21280e-01  +1.80049e-01  +1.10025e+00  +1.43737e-02
+1.25767e+03  +1.00701e+00  +1.80887e-01  +1.09873e+00  +1.47669e-02
+1.25822e+03  +7.92705e-01  +1.81569e-01  +1.08572e+00  +1.63468e-02
+1.25878e+03  +6.72681e-01  +1.82744e-01  +1.07610e+00  +1.73113e-02
+1.25933e+03  +5.30979e-01  +1.83547e-01  +1.08916e+00  +1.59028e-02
+1.25989e+03  +6.44542e-01  +1.85439e-01  +1.10496e+00  +1.58440e-02
+1.26044e+03  +3.92579e-01  +1.86711e-01  +1.10839e+00  +1.66655e-02
+1.26100e+03  +8.37773e-01  +1.88799e-01  +1.10880e+00  +1.67466e-02
+1.26155e+03  +1.10300e+00  +1.91056e-01  +1.11091e+00  +1.59168e-02
+1.26210e+03  +1.05619e+00  +1.93540e-01  +1.11533e+00  +1.54415e-02
+1.26266e+03  +1.39699e+00  +1.96247e-01  +1.12011e+00  +1.55970e-02
+1.26321e+03  +1.19168e+00  +2.02302e-01  +1.12056e+00  +1.57148e-02
+1.26377e+03  +8.25207e-01  +2.07317e-01  +1.11687e+00  +1.57124e-02
+1.26432e+03  +1.17918e+00  +2.11281e-01  +1.11022e+00  +1.55645e-02
+1.26488e+03  +1.12790e+00  +2.14829e-01  +1.10018e+00  +1.51843e-02
+1.26543e+03  +1.47088e+00  +2.19398e-01  +1.08397e+00  +1.54325e-02
+1.26598e+03  +1.27058e+00  +2.27969e-01  +1.06963e+00  +1.61175e-02
+1.26654e+03  +8.93515e-01  +2.38740e-01  +1.07495e+00  +1.50829e-02
+1.26709e+03  +8.38302e-01  +2.48172e-01  +1.09125e+00  +1.38235e-02
+1.26765e+03  +9.72587e-01  +2.54131e-01  +1.10160e+00  +1.35771e-02
+1.26820e+03  +1.00446e+00  +2.56702e-01  +1.10294e+00  +1.35496e-02
+1.26876e+03  +1.02118e+00  +2.68258e-01  +1.09755e+00  +1.38322e-02
+1.26931e+03  +1.15596e+00  +2.75201e-01  +1.09222e+00  +1.37021e-02
+1.26987e+03  +8.53940e-01  +2.89316e-01  +1.08681e+00  +1.33919e-02
+1.27042e+03  +9.64110e-01  +3.11686e-01  +1.08188e+00  +1.38517e-02
+1.27097e+03  +8.19991e-01  +3.37342e-01  +1.08734e+00  +1.48364e-02
+1.27153e+03  +7.16808e-01  +3.49512e-01  +1.09513e+00  +1.60716e-02
+1.27208e+03  +1.05452e+00  +3.37470e-01  +1.09609e+00  +1.59094e-02
+1.27264e+03  +3.54216e-01  +3.49335e-01  +1.09421e+00  +1.42860e-02
+1.27319e+03  +6.22354e-01  +3.68113e-01  +1.08857e+00  +1.32442e-02
+1.27375e+03  +8.06027e-01  +3.67232e-01  +1.08859e+00  +1.30466e-02
+1.27430e+03  +3.58797e-01  +3.55068e-01  +1.09980e+00  +1.39446e-02
+1.27485e+03  +1.21916e+00  +3.63194e-01  +1.10876e+00  +1.51640e-02
+1.27541e+03  +1.08095e+00  +3.42478e-01  +1.10838e+00  +1.54951e-02
+1.27596e+03  +7.24285e-01  +3.10067e-01  +1.09889e+00  +1.58919e-02
+1.27652e+03  +9.62303e-01  +2.83479e-01  +1.08012e+00  +1.73294e-02
+1.27707e+03  +9.12887e-01  +2.66877e-01  +1.07153e+00  +1.81917e-02
+1.27763e+03  +1.02614e+00  +2.58500e-01  +1.07801e+00  +1.77898e-02
+1.27818e+03  +9.27649e-01  +2.48224e-01  +1.07679e+00  +1.66434e-02
+1.27874e+03  +6.70810e-01  +2.42003e-01  +1.07489e+00  +1.49015e-02
+1.27929e+03  +1.18725e+00  +2.48478e-01  +1.08562e+00  +1.36415e-02
+1.27984e+03  +1.00194e+00  +2.37114e-01  +1.09943e+00  +1.35909e-02
+1.28040e+03  +1.02745e+00  +2.10812e-01  +1.10315e+00  +1.43285e-02
+1.28095e+03  +9.76469e-01  +1.99339e-01  +1.09881e+00  +1.44657e-02
+1.28151e+03  +9.68832e-01  +1.84756e-01  +1.09210e+00  +1.44447e-02
+1.28206e+03  +8.54276e-01  +1.74958e-01  +1.09111e+00  +1.46470e-02
+1.28262e+03  +6.77767e-01  +1.74884e-01  +1.09323e+00  +1.43568e-02
+1.28317e+03  +4.06364e-01  +1.78992e-01  +1.08692e+00  +1.35760e-02
+1.28372e+03  +3.24741e-01  +1.80677e-01  +1.07135e+00  +1.42555e-02
+1.28428e+03  +6.13360e-01  +1.80356e-01  +1.06543e+00  +1.47184e-02
+1.28483e+03  +1.02029e+00  +1.81679e-01  +1.07592e+00  +1.41766e-02
+1.28539e+03  +8.01953e-01  +1.82471e-01  +1.07887e+00  +1.48895e-02
+1.28594e+03  +8.72835e-01  +1.80300e-01  +1.07426e+00  +1.54487e-02
+1.28650e+03  +1.14814e+00  +1.79642e-01  +1.07889e+00  +1.49044e-02
+1.28705e+03  +9.84318e-01  +1.85450e-01  +1.08425e+00  +1.35919e-02
+1.28761e+03  +1.07842e+00  +1.86422e-01  +1.08086e+00  +1.27455e-02
